0,ID,Season,Home,Away,TossWin,TossDec,Venue,Winner
345,2013_17,2013,KKR,SRH,Home,bat,Eden Gardens,Home
346,2013_18,2013,RR,KXIP,Home,field,Sawai Mansingh Stadium,Home
347,2013_19,2013,CSK,PWI,Away,bat,MA Chidambaram Stadium,Away
348,2013_20,2013,KXIP,KKR,Away,field,Punjab Cricket Association IS Bindra Stadium,Home
349,2013_21,2013,RCB,DD,Home,field,M.Chinnaswamy Stadium,Home
350,2013_22,2013,SRH,PWI,Away,field,Maharashtra Cricket Association Stadium,Home
351,2013_23,2013,RR,MI,Home,bat,Sawai Mansingh Stadium,Home
352,2013_24,2013,DD,CSK,Away,bat,Arun Jaitley Stadium,Away
353,2013_25,2013,SRH,KXIP,Away,bat,Rajiv Gandhi International Stadium,Home
354,2013_26,2013,KKR,CSK,Home,bat,Eden Gardens,Away
355,2013_27,2013,RCB,RR,Home,field,M.Chinnaswamy Stadium,Home
356,2013_28,2013,DD,MI,Away,bat,Arun Jaitley Stadium,Home
357,2013_29,2013,KXIP,PWI,Home,field,Punjab Cricket Association IS Bindra Stadium,Home
